VendorName,SalesDollars,Dollars,Profit,margin_pct,Performance,LeadTimeDays
VINEDREA WINES LLC         ,11385.6,4657.6,6728.0,59.092186621697586,Overperformer,8.82
VINEXTRA INC               ,141335.79,102639.51,38696.28000000001,27.378967492947126,Overperformer,7.65
VINEYARD BRANDS INC        ,1845237.53,1196162.81,649074.72,35.17567302026423,Overperformer,7.48
VINEYARD BRANDS LLC        ,4323.96,10951.51,-6627.55,-153.27500716935404,Underperformer,8.09
VINILANDIA USA             ,826960.0499999999,548855.37,278104.67999999993,33.62975998659185,Overperformer,7.24
VRANKEN AMERICA            ,341658.31,208330.15,133328.16,39.02383056334851,Overperformer,7.61
WALPOLE MTN VIEW WINERY    ,11483.88,9292.31,2191.5699999999997,19.08388105762164,Underperformer,8.53
WEIN BAUER INC             ,56930.229999999996,43517.0,13413.229999999996,23.56082172863169,Underperformer,7.13
WESTERN SPIRITS BEVERAGE CO,443217.71,361249.21,81968.5,18.493958646192183,Underperformer,7.83
WILLIAM GRANT & SONS INC   ,7635828.27,5960744.35,1675083.92,21.937160721400037,Underperformer,7.92
WINE GROUP INC             ,8341165.72,5258636.79,3082528.9299999997,36.9556130818607,Overperformer,7.63
ZORVINO VINEYARDS          ,124189.59,86122.71,38066.87999999999,30.652230996172857,Overperformer,7.92
